name,season,advancement,rarity,rank,grade,foil
"Acongua","ARKHANTE","ALTERNATIVE","UNCOMMON","5","S","true"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","5","","false"
"Acongua","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","false"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","1","","false"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","3","","false"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","1","","true"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","5","","true"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","4","","false"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","2","","false"
"Acongua","ARKHANTE","ALTERNATIVE","UNCOMMON","5","B","false"
"Acongua","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","true"
"Acongua","ARKHANTE","ALTERNATIVE","UNCOMMON","5","A","false"
"Acongua","ARKHANTE","ALTERNATIVE","UNCOMMON","5","B","true"
"Acongua","ARKHANTE","STANDARD","UNCOMMON","2","","true"
"Acongua","ARKHANTE","ALTERNATIVE","UNCOMMON","5","S","false"
"Aiden Pearce","MANTRIS","STANDARD","SPECIAL_RARE","1","","false"
"Aiden Pearce","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Aiden Pearce & Dalton Wolfe","MANTRIS","COMBO","SPECIAL_RARE","5","B","false"
"Ailene","RIFT","STANDARD","UNCOMMON","1","","false"
"Ailene","RIFT","ALTERNATIVE","UNCOMMON","5","B","false"
"Ailene","RIFT","ALTERNATIVE","UNCOMMON","5","C","false"
"Air Djinn","ARKHANTE","STANDARD","COMMON","5","","false"
"Air Djinn","ARKHANTE","STANDARD","COMMON","5","","true"
"Air Djinn","ARKHANTE","STANDARD","COMMON","1","","false"
"Air Djinn","ARKHANTE","STANDARD","COMMON","1","","true"
"Air Djinn","ARKHANTE","STANDARD","COMMON","3","","false"
"Air Djinn","ARKHANTE","ALTERNATIVE","COMMON","5","C","false"
"Air Djinn","ARKHANTE","ALTERNATIVE","COMMON","5","C","true"
"Air Djinn","ARKHANTE","STANDARD","COMMON","2","","false"
"Air Djinn","ARKHANTE","ALTERNATIVE","COMMON","5","B","false"
"Air Djinn","ARKHANTE","STANDARD","COMMON","2","","true"
"Air Djinn","ARKHANTE","ALTERNATIVE","COMMON","5","A","false"
"Al","RIFT","STANDARD","EXCLUSIVE","1","","false"
"Al","RIFT","ALTERNATIVE","EXCLUSIVE","5","C","false"
"Al","RIFT","STANDARD","ULTRA_RARE","1","","false"
"Al","RIFT","STANDARD","EXCLUSIVE","3","","false"
"Al","RIFT","STANDARD","EXCLUSIVE","2","","false"
"Al","RIFT","ALTERNATIVE","EXCLUSIVE","5","B","false"
"Al","RIFT","ALTERNATIVE","ULTRA_RARE","5","C","false"
"Al","RIFT","STANDARD","EXCLUSIVE","4","","false"
"Al","RIFT","STANDARD","EXCLUSIVE","5","","false"
"Al","RIFT","ALTERNATIVE","ULTRA_RARE","5","A","false"
"Al","RIFT","ALTERNATIVE","ULTRA_RARE","5","B","false"
"Al & Aurelius","RIFT","COMBO","MYTHIC","5","A","false"
"Al & Aurelius","RIFT","COMBO","MYTHIC","5","C","false"
"Algol","RIFT","STANDARD","RARE","1","","false"
"Algol","RIFT","ALTERNATIVE","RARE","5","C","false"
"Algol","RIFT","ALTERNATIVE","RARE","5","A","false"
"Algol","RIFT","ALTERNATIVE","RARE","5","B","false"
"Alokah","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Alokah","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Alokah","ARKHANTE","STANDARD","SPECIAL_RARE","1","","true"
"Alokah","ARKHANTE","STANDARD","SPECIAL_RARE","1","","false"
"Alokah","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","S","true"
"Alokah","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","A","true"
"Alokah","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","C","true"
"Alokah","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Amrok","ARKHANTE","STANDARD","RARE","5","","false"
"Amrok","ARKHANTE","ALTERNATIVE","RARE","5","B","false"
"Amrok","ARKHANTE","STANDARD","RARE","1","","false"
"Amrok","ARKHANTE","STANDARD","RARE","5","","true"
"Amrok","ARKHANTE","ALTERNATIVE","RARE","5","A","false"
"Amrok","ARKHANTE","STANDARD","RARE","1","","true"
"Amrok","ARKHANTE","ALTERNATIVE","RARE","5","C","true"
"Amrok","ARKHANTE","ALTERNATIVE","RARE","5","C","false"
"Amrok","ARKHANTE","ALTERNATIVE","RARE","5","S","false"
"Amrok","ARKHANTE","STANDARD","RARE","2","","false"
"Amrok","ARKHANTE","STANDARD","RARE","3","","false"
"Amrok","ARKHANTE","STANDARD","RARE","4","","false"
"Anis","MANTRIS","STANDARD","RARE","1","","true"
"Anis","MANTRIS","STANDARD","RARE","5","","false"
"Anis","MANTRIS","STANDARD","RARE","1","","false"
"Anis","MANTRIS","ALTERNATIVE","RARE","5","C","false"
"Anis","MANTRIS","ALTERNATIVE","RARE","5","S","true"
"Anis","MANTRIS","ALTERNATIVE","RARE","5","C","true"
"Anis","MANTRIS","ALTERNATIVE","RARE","5","B","false"
"Anis","MANTRIS","ALTERNATIVE","RARE","5","B","true"
"Anis","MANTRIS","ALTERNATIVE","RARE","5","A","false"
"Anis","MANTRIS","ALTERNATIVE","RARE","5","A","true"
"Anis","MANTRIS","STANDARD","RARE","5","","true"
"Anju","RIFT","STANDARD","UNCOMMON","1","","false"
"Anju","RIFT","ALTERNATIVE","UNCOMMON","5","B","false"
"Anju","RIFT","ALTERNATIVE","UNCOMMON","5","C","false"
"Archer","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Archer","ARKHANTE","STANDARD","SPECIAL_RARE","1","","false"
"Archer","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Archer","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","S","false"
"Archer","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","C","true"
"Archer","ARKHANTE","STANDARD","SPECIAL_RARE","1","","true"
"Archer","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Archer","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","B","true"
"Archer","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","A","true"
"Archivist","MANTRIS","STANDARD","ULTRA_RARE","1","","true"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","B","false"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","C","false"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","C","true"
"Archivist","MANTRIS","STANDARD","ULTRA_RARE","1","","false"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","S","false"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","B","true"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","A","true"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","S","true"
"Archivist","MANTRIS","ALTERNATIVE","ULTRA_RARE","5","A","false"
"Argonath","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","C","false"
"Argonath","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","A","false"
"Argonath","ARKHANTE","STANDARD","ULTRA_RARE","1","","false"
"Argonath","ARKHANTE","STANDARD","ULTRA_RARE","1","","true"
"Argonath","ARKHANTE","STANDARD","ULTRA_RARE","3","","false"
"Argonath","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","B","false"
"Argonath","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","S","false"
"Argonath","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","C","true"
"Argonath","ARKHANTE","STANDARD","ULTRA_RARE","5","","false"
"Argonath","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","B","true"
"Argonath","ARKHANTE","STANDARD","EXCLUSIVE","2","","false"
"Argonath","ARKHANTE","ALTERNATIVE","EXCLUSIVE","5","A","false"
"Argonath","ARKHANTE","ALTERNATIVE","EXCLUSIVE","5","C","false"
"Argonath","ARKHANTE","ALTERNATIVE","EXCLUSIVE","5","S","false"
"Argonath","ARKHANTE","ALTERNATIVE","EXCLUSIVE","5","B","false"
"Argonath","ARKHANTE","STANDARD","EXCLUSIVE","3","","false"
"Argonath","ARKHANTE","STANDARD","EXCLUSIVE","5","","false"
"Argonath & Sea Dragon","","","","","C","false"
"Argonath & Sea Dragon","","","","","C","true"
"Argonath & Sea Dragon","N/A","N/A","N/A","N/A","C","false"
"Argonath Exclusive Card Shard","","","","","","false"
